kanji,hiragana,english,kanji_required
,ごらんになる,(respectful) to see,
出かける,でかける,to go out,x
笑う,わらう,"to laugh,to smile",
,はず,it should be so,
社長,しゃちょう,company president,
大切,たいせつ,important,x
お姉さん,おねえさん,(honorable) older sister,x
手伝う,てつだう,to assist,
,それに,moreover,
,もうすぐ,soon,
雨,あめ,rain,x
会議室,かいぎしつ,meeting room,
泥棒,どろぼう,thief,
三日,みっか,"three days, third day of the month",x
強い,つよい,powerful,x
自転車,じてんしゃ,bicycle,x
,ボールペン,ball-point pen,
先月,せんげつ,last month,x
運転手,うんてんしゅ,driver,x
,ビル,building or bill,
割合,わりあい,"rate,ratio,percentage",
半,はん,half,
毎朝,まいあさ,every morning,x
鳥,とり,bird,x
,かわいい,cute,
